AAT52330.1,unknown,Sarbecovirus
AAY88866.1,bat,Sarbecovirus
AAZ41329.1,bat,Sarbecovirus
AAZ41340.1,bat,Sarbecovirus
ABI96958.1,unknown,Sarbecovirus
ADE34722.1,bat,Sarbecovirus
ADE34733.1,bat,Sarbecovirus
ADE34744.1,bat,Sarbecovirus
ADE34755.1,bat,Sarbecovirus
ADE34766.1,bat,Sarbecovirus
ADE34779.1,bat,Sarbecovirus
ADE34790.1,bat,Sarbecovirus
ADE34801.1,bat,Sarbecovirus
ADE34812.1,bat,Sarbecovirus
ADE34823.1,bat,Sarbecovirus
ADK66841.1,bat,Sarbecovirus
AFM43867.1,vero-cells,Sarbecovirus
AFR58672.1,unknown,Sarbecovirus
AFR58686.1,unknown,Sarbecovirus
AFR58700.1,unknown,Sarbecovirus
AFR58714.1,unknown,Sarbecovirus
AFR58728.1,unknown,Sarbecovirus
AFR58742.1,unknown,Sarbecovirus
AGT20793.1,vero-cells,Sarbecovirus
AGT20808.1,vero-cells,Sarbecovirus
AGT20823.1,vero-cells,Sarbecovirus
AGT20838.1,vero-cells,Sarbecovirus
AGT20853.1,vero-cells,Sarbecovirus
AGT20868.1,vero-cells,Sarbecovirus
AGT20883.1,vero-cells,Sarbecovirus
AGT20898.1,vero-cells,Sarbecovirus
AGT20913.1,vero-cells,Sarbecovirus
AGT20928.1,vero-cells,Sarbecovirus
AGT20943.1,vero-cells,Sarbecovirus
AGT20958.1,vero-cells,Sarbecovirus
AGT20973.1,vero-cells,Sarbecovirus
AGT20988.1,vero-cells,Sarbecovirus
AGT21003.1,vero-cells,Sarbecovirus
AGT21018.1,vero-cells,Sarbecovirus
AGT21033.1,vero-cells,Sarbecovirus
AGT21048.1,vero-cells,Sarbecovirus
AGT21063.1,vero-cells,Sarbecovirus
AGT21078.1,vero-cells,Sarbecovirus
AGT21093.1,vero-cells,Sarbecovirus
AGT21108.1,vero-cells,Sarbecovirus
AGT21123.1,vero-cells,Sarbecovirus
AGT21138.1,vero-cells,Sarbecovirus
AGT21153.1,vero-cells,Sarbecovirus
AGT21168.1,vero-cells,Sarbecovirus
AGT21183.1,vero-cells,Sarbecovirus
AGT21198.1,vero-cells,Sarbecovirus
AGT21213.1,vero-cells,Sarbecovirus
AGT21228.1,vero-cells,Sarbecovirus
AGT21243.1,vero-cells,Sarbecovirus
AGT21258.1,vero-cells,Sarbecovirus
AGT21273.1,vero-cells,Sarbecovirus
AGT21288.1,vero-cells,Sarbecovirus
AGT21303.1,vero-cells,Sarbecovirus
AGT21318.1,vero-cells,Sarbecovirus
AKZ19076.1,bat,Sarbecovirus
AKZ19087.1,bat,Sarbecovirus
ANA96027.1,bat,Sarbecovirus
APO40579.1,bat,Sarbecovirus
ASO66810.1,bat,Sarbecovirus
BAE93401.1,unknown,Sarbecovirus
BCG66627.1,bat,Sarbecovirus
BDE47407.1,human,Sarbecovirus
CAD0240757.1,unknown,Sarbecovirus
CAD0240766.1,unknown,Sarbecovirus
EPI_ISL_1005699,cat,Sarbecovirus
EPI_ISL_1008202,environment,Sarbecovirus
EPI_ISL_1008203,environment,Sarbecovirus
EPI_ISL_1008204,environment,Sarbecovirus
EPI_ISL_1008266,environment,Sarbecovirus
EPI_ISL_1008267,environment,Sarbecovirus
EPI_ISL_1008268,environment,Sarbecovirus
EPI_ISL_1008269,environment,Sarbecovirus
EPI_ISL_1008270,environment,Sarbecovirus
EPI_ISL_1008271,environment,Sarbecovirus
EPI_ISL_1008272,environment,Sarbecovirus
EPI_ISL_1008273,environment,Sarbecovirus
EPI_ISL_1008274,environment,Sarbecovirus
EPI_ISL_1008275,environment,Sarbecovirus
EPI_ISL_1008276,environment,Sarbecovirus
EPI_ISL_1008277,environment,Sarbecovirus
EPI_ISL_1008278,environment,Sarbecovirus
EPI_ISL_1008279,environment,Sarbecovirus
EPI_ISL_1008280,environment,Sarbecovirus
EPI_ISL_1008281,environment,Sarbecovirus
EPI_ISL_1008282,environment,Sarbecovirus
EPI_ISL_1008283,environment,Sarbecovirus
EPI_ISL_1008284,environment,Sarbecovirus
EPI_ISL_1008285,environment,Sarbecovirus
EPI_ISL_1008286,environment,Sarbecovirus
EPI_ISL_1008287,environment,Sarbecovirus
EPI_ISL_1008288,environment,Sarbecovirus
EPI_ISL_1008289,environment,Sarbecovirus
EPI_ISL_1008290,environment,Sarbecovirus
EPI_ISL_1008291,environment,Sarbecovirus
EPI_ISL_1008311,environment,Sarbecovirus
EPI_ISL_1008312,environment,Sarbecovirus
EPI_ISL_1008313,environment,Sarbecovirus
EPI_ISL_1008314,environment,Sarbecovirus
EPI_ISL_1008315,environment,Sarbecovirus
EPI_ISL_1008316,environment,Sarbecovirus
EPI_ISL_1008317,environment,Sarbecovirus
EPI_ISL_1008318,environment,Sarbecovirus
EPI_ISL_1008319,environment,Sarbecovirus
EPI_ISL_1008320,environment,Sarbecovirus
EPI_ISL_1008321,environment,Sarbecovirus
EPI_ISL_1008322,environment,Sarbecovirus
EPI_ISL_1008323,environment,Sarbecovirus
EPI_ISL_1008324,environment,Sarbecovirus
EPI_ISL_1008325,environment,Sarbecovirus
EPI_ISL_1008326,environment,Sarbecovirus
EPI_ISL_1014941,weasel,Sarbecovirus
EPI_ISL_1014942,weasel,Sarbecovirus
EPI_ISL_1014943,weasel,Sarbecovirus
EPI_ISL_1014944,weasel,Sarbecovirus
EPI_ISL_1014945,weasel,Sarbecovirus
EPI_ISL_1014946,weasel,Sarbecovirus
EPI_ISL_1014947,weasel,Sarbecovirus
EPI_ISL_1014948,weasel,Sarbecovirus
EPI_ISL_1014949,weasel,Sarbecovirus
EPI_ISL_1014950,weasel,Sarbecovirus
EPI_ISL_1014951,weasel,Sarbecovirus
EPI_ISL_1014952,weasel,Sarbecovirus
EPI_ISL_1014953,weasel,Sarbecovirus
EPI_ISL_1014954,weasel,Sarbecovirus
EPI_ISL_1014955,weasel,Sarbecovirus
EPI_ISL_1014956,weasel,Sarbecovirus
EPI_ISL_1014957,weasel,Sarbecovirus
EPI_ISL_1014958,weasel,Sarbecovirus
EPI_ISL_1014959,weasel,Sarbecovirus
EPI_ISL_1014960,weasel,Sarbecovirus
EPI_ISL_1014961,weasel,Sarbecovirus
EPI_ISL_1014962,weasel,Sarbecovirus
EPI_ISL_1014963,weasel,Sarbecovirus
EPI_ISL_1014964,weasel,Sarbecovirus
EPI_ISL_1014965,weasel,Sarbecovirus
EPI_ISL_1014966,weasel,Sarbecovirus
EPI_ISL_1014967,weasel,Sarbecovirus
EPI_ISL_1014968,weasel,Sarbecovirus
EPI_ISL_1014969,weasel,Sarbecovirus
EPI_ISL_1014970,weasel,Sarbecovirus
EPI_ISL_1014971,weasel,Sarbecovirus
EPI_ISL_1014972,weasel,Sarbecovirus
EPI_ISL_1014973,weasel,Sarbecovirus
EPI_ISL_1014974,weasel,Sarbecovirus
EPI_ISL_1014975,weasel,Sarbecovirus
EPI_ISL_1014976,weasel,Sarbecovirus
EPI_ISL_1014977,weasel,Sarbecovirus
EPI_ISL_1014978,weasel,Sarbecovirus
EPI_ISL_1014979,weasel,Sarbecovirus
EPI_ISL_1014980,weasel,Sarbecovirus
EPI_ISL_1014981,weasel,Sarbecovirus
EPI_ISL_1014982,weasel,Sarbecovirus
EPI_ISL_1014983,weasel,Sarbecovirus
